material_id,formula_pretty,nsites,composition,density,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,efermi,is_gap_direct,is_metal,cbm,vbm,is_magnetic,total_magnetization,total_magnetization_normalized_formula_units,num_unique_magnetic_sites
mp-1197464,Ag2Te4MoO12,38,Ag4 Te8 Mo2 O24,5.681480509948823,-6.066161184736842,-1.406586778947367,0.0062161410964893,2.1281000000000003,3.12747559,True,False,5.2484,3.1203,False,0.0045067,0.00225335,0.0
mp-1203404,Ag2Mo(I2O7)2,42,Ag4 Mo2 I8 O28,5.30799170509228,-5.332998417619048,-0.963632561349206,0.0098204454166621,1.9611,4.88479752,False,False,4.885,2.9239,False,0.0003712,0.0001856,0.0
mp-14029,AgMoPO6,72,Ag8 Mo8 P8 O48,4.546519985628443,-7.402419884722223,-1.9782372570899465,0.0,1.9428,1.4116332,False,False,3.3059,1.3631,False,0.0023949,0.0002993625,0.0
mp-1110842,K2AgMoF6,10,K2 Ag1 Mo1 F6,3.6610408768970815,-10.328613785291674,-2.507982614041674,0.0034194286249995,2.5573,-0.07888827,True,False,2.4782,-0.0791,True,2.9999429,2.9999429,1.0
mp-1110819,Rb2AgMoI6,10,Rb2 Ag1 Mo1 I6,4.672950401347499,-3.370828044,-0.921842640666666,0.1203696581458331,0.694,1.93891026,True,False,2.6265,1.9325,True,2.9981872,2.9981872,1.0
mp-1110784,Rb2AgMoF6,10,Rb2 Ag1 Mo1 F6,4.676849538631881,-5.30388444,-2.5920314661666666,0.0,2.6738,0.01317761,True,False,2.6867,0.0129,True,3.0000001,3.0000001,1.0
mp-1113232,Cs2AgMoCl6,10,Cs2 Ag1 Mo1 Cl6,3.8839171105488695,-14.910545901166666,-1.456455994166666,0.0434381183333343,0.9531,1.76748246,True,False,2.7138,1.7607,True,2.9987001,2.9987001,1.0
mp-1110917,K2AgMoBr6,10,K2 Ag1 Mo1 Br6,3.9022292481413694,-3.839248383,-1.3122986616166668,0.0685645004999973,0.6656,0.87123834,True,False,1.5502,0.8846,True,2.997723,2.997723,1.0
mp-1110858,K2AgMoCl6,10,K2 Ag1 Mo1 Cl6,2.970554397733751,-11.04423976241668,-1.4063379781666796,0.0474565133333335,1.0353,1.44800442,True,False,2.4765,1.4412,True,3.00751,3.00751,1.0
mp-1214906,AgMoO4,12,Ag2 Mo2 O8,5.602159213836465,-6.890009491666667,-1.3070690452777782,0.1206809797916683,0.0,1.30810396,False,True,1.303,1.3327,True,1.9468398,0.9734199,2.0
mp-1113243,Cs2AgMoBr6,10,Cs2 Ag1 Mo1 Br6,4.665265439099171,-3.863179109,-1.3827575080977013,0.0543625616249938,0.5337000000000001,1.21296394,True,False,1.76,1.2263,True,2.9981516,2.9981516,1.0
mp-1233997,MgAg4Te8(MoO12)2,39,Mg1 Ag4 Te8 Mo2 O24,5.663216058427338,-6.030447175384615,-1.4485421129487168,0.0707427969230787,1.8913,3.73921946,True,False,5.5247,3.6334,True,2.0,2.0,2.0
mp-2232168,MgAg4(MoO4)2,15,Mg1 Ag4 Mo2 O8,5.263728959132796,-6.070649764666667,-1.1165410494444443,0.427948554111107,0.0369999999999999,2.04174276,False,False,2.0736,2.0366,False,0.0,0.0,0.0
mp-1224724,InAg(MoO4)2,36,In3 Ag3 Mo6 O24,5.536677194776674,-7.30916732638889,-1.7332072079166667,0.0391709386631973,0.0,3.49557126,False,True,,,True,6e-07,2e-07,6.0
mp-14973,AgMo2P3O13,76,Ag4 Mo8 P12 O52,3.7853446835114335,-7.794226648026317,-2.259485233978697,0.0059751421052771,2.0243,3.60827824,False,False,3.6083,1.584,True,7.9998267,1.999956675,2.0
mp-560276,Ag2Mo2O7,44,Ag8 Mo8 O28,5.482320077047615,-7.144073847272727,-1.5037991532575743,0.0009334045454547,1.8834,1.51970044,False,False,3.3457,1.4623,False,0.0006233,0.000155825,0.0
mp-553919,Ag6Mo2ClO7F3,19,Ag6 Mo2 Cl1 O7 F3,5.759769569276189,-5.620641417894737,-1.357602159473683,0.0,1.5595,1.01826824,False,False,2.5712,1.0117,False,0.0003732,0.0003732,0.0
